did,communityName,id,lat,lng
0,东方兰园,1,32.12216196,118.8427028
1,金陵御沁园,2,32.06788739,118.7470478
2,北苑一村,3,32.10896487,118.826211
3,诚品城,4,32.13091304,118.93409
4,亚东观云国际,5,32.0096181,118.7706212
5,中海万锦熙岸二期,6,32.05424613,118.632202
6,玉兰里,7,32.04209026,118.7600668
7,中环国际,8,32.07278403,118.7792042
8,西城映象,9,32.02233784,118.7710707
9,燕归园,10,32.1114406,118.7723184
10,达莱花苑,11,32.0572355,118.7780744
11,南方花园C组团,12,31.96734102,118.8276134
12,钱塘望景花园,13,32.07809585,118.6249005
13,东方龙湖湾南湖苑,14,31.92348644,118.9043177
14,聚福园二期,15,32.05616944,118.7441655
15,秦淮绿洲东苑,16,31.96750202,118.8427381
16,后标营28号,17,32.03544336,118.8302866
17,中南世纪雅苑,18,32.04313071,118.916709
18,春江新城新河苑二期,19,31.96565405,118.750408
19,江雁山水雅苑,20,32.11271666,118.7755824
20,枫林湾,21,31.96034898,118.8402929
21,杨将军巷,22,32.05274494,118.7994161
22,怡景花园,23,32.04993755,118.7792682
23,清江花苑圆梦园,24,32.07433193,118.7489977
24,汇金新天地,25,31.95183783,118.8161855
25,汇景家园景泰苑,26,31.98930699,118.8224829
26,东渡国际青年城,27,31.93769923,118.8453807
27,东郊小镇第四街区,28,32.06176318,118.9571824
28,怡和佳苑,29,32.04729167,118.7462249
29,银亿东城第十一街区,30,32.06978042,118.953497
30,大发融悦,31,32.03761728,118.8757773
31,香格里拉东苑,32,32.02966647,118.8146969
32,威尼斯水城第九街区,33,32.14443105,118.7550957
33,阳光帝景,34,32.10978221,118.6894546
34,白鹭花园凤栖苑,35,32.03532557,118.7516078
35,万科璞悦山,36,32.07654421,118.6060569
36,莫愁新寓郁金里,37,32.04575867,118.7618238
37,江滨新寓,38,32.05971143,118.7374983
38,太平北路122号,39,32.05838571,118.8036362
39,东郊小镇第七街区,40,32.06549237,118.9552013
40,北江锦城,41,32.05911594,118.6170904
41,万科璞悦山,42,32.07654421,118.6060569
42,龙湖文馨苑,43,31.90704696,118.830429
43,宋都南郡国际北区,44,31.91606233,118.6712719
44,五矿崇文金城,45,31.97412057,118.7029449
45,水月秦淮,46,31.96064263,118.810913
46,明月港湾星河湾,47,31.97992477,118.8371742
47,凤凰西街,48,32.04661588,118.7560161
48,仙鹤茗苑,49,32.09508263,118.9085652
49,中粮鸿云,50,31.99919874,118.88865
50,水佐岗,51,32.07579434,118.7705492
51,赞成湖畔居,52,32.08851299,118.8109356
52,天地新城天柱座,53,31.98005328,118.8358457
53,玉带园,54,32.0305117,118.7836913
54,黄埔鑫园,55,32.02452218,118.824193
55,汇林绿洲上林苑,56,32.09307927,118.7833782
56,玉带园,57,32.0305117,118.7836913
57,善水湾花园,58,31.95870496,118.7366966
58,诚品城,59,32.13091304,118.93409
59,富力尚悦居二期,60,31.92300243,118.6812968
60,赛世香樟园,61,32.10696057,118.9272216
61,高科荣域,62,32.12823641,118.9360876
62,庆盛园,63,32.0257426,118.8583385
63,托乐嘉贵邻居,64,31.95395701,118.7949644
64,阅城国际花园悠然园,65,31.98843632,118.7820843
65,莱茵东郡,66,31.93951445,118.8705566
66,燕语华庭,67,32.10277816,118.794563
67,华汇康城,68,32.05282541,118.9396629
68,旭日华庭金棕榈,69,32.1349652,118.7347863
69,苏宁睿城,70,32.03694552,118.735587
70,安民村,71,32.03164205,118.7566792
71,麒麟山庄,72,32.05729579,118.9453454
72,建康路,73,32.02919148,118.7940677
73,宁工新寓二村,74,32.0647714,118.7440336
74,雅士居,75,32.08971515,118.7908913
75,万科金域国际,76,31.96262517,118.8671645
76,人和苑,77,32.1172248,118.7087284
77,左邻右里,78,32.13134538,118.7502758
