id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
1,洲岛家园,建邺,174,30021元/平米,2室1厅1厨1卫,高楼层 (共26层),57.96㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯六户,有,70年,2019-05-26,动迁安置房,2017-03-02,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
2,正荣润峯,建邺,460,48838元/平米,3室1厅1厨1卫,低楼层 (共32层),94.19㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯三户,有,70年,2019-08-27,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
3,羲和,玄武,610,64537元/平米,2室2厅1厨1卫,中楼层 (共32层),94.52㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯六户,有,70年,2019-05-16,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 252万元 有银行按揭 房主自己可以解压  业主自还
                              ",未上传房本照片
4,金浦御龙湾,栖霞,460,33334元/平米,4室2厅1厨2卫,中楼层 (共11层),138㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,有,70年,2019-04-17,商品房,2019-01-16,普通住宅,未满两年,非共有,"
                                有抵押 200万元 客户偿还
                              ",已上传房本照片
5,利民村,建邺,158,32213元/平米,2室1厅1厨1卫,低楼层 (共6层),49.05㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,70年,2020-01-02,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
6,桥北新村,浦口,170,18140元/平米,3室2厅1厨1卫,中楼层 (共6层),93.72㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,70年,2019-11-04,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
7,春江新城牛首坊,雨花台,145,20095元/平米,2室1厅1厨1卫,低楼层 (共6层),72.16㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,70年,2019-11-30,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
8,墨林雅苑,六合,64,7112元/平米,3室1厅1厨1卫,高楼层 (共6层),90㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,70年,2019-10-15,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
9,一品骊城,溧水,110,8958元/平米,3室2厅1厨2卫,高楼层 (共6层),122.8㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2018-09-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 26万元
                              ",未上传房本照片
10,江岸水城,浦口,178,17541元/平米,2室2厅1厨1卫,中楼层 (共9层),101.48㎡,平层,86.79㎡,板楼,南 北,钢混结构,简装,一梯两户,有,70年,2018-09-12,商品房,2013-04-02,普通住宅,满五年,共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片
11,永欣新寓紫荆苑,江宁,100,13699元/平米,2室1厅1厨1卫,中楼层 (共11层),73㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,有,70年,2020-01-08,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片
12,韩家苑小区,秦淮,102,31482元/平米,1室1厅1厨1卫,中楼层 (共7层),32.4㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯三户,无,70年,2020-01-15,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片
13,双湖星城,高淳,52,5719元/平米,2室2厅1厨1卫,高楼层 (共6层),90.93㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,一梯两户,暂无数据,70年,2019-07-23,商品房,2016-10-15,普通住宅,满两年,共有,"
                                有抵押 25万元 中国建设银行 业主自还
                              ",已上传房本照片
14,江南青年城,江宁,99,20570元/平米,1室1厅1厨1卫,低楼层 (共6层),48.13㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯十四户,无,70年,2019-12-31,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
15,银河湾花园,江宁,420,20733元/平米,5室2厅1厨3卫,高楼层 (共18层),202.58㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,70年,2017-02-12,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 30万元 客户偿还
                              ",未上传房本照片
16,麒麟山庄,江宁,360,25175元/平米,3室2厅1厨2卫,中楼层 (共11层),143㎡,平层,122.07㎡,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2018-12-02,商品房,2013-06-08,普通住宅,满五年,共有,"
                                有抵押 40万元 交通银行 业主自还
                              ",已上传房本照片
17,北江锦城,浦口,219,23974元/平米,2室2厅1厨1卫,高楼层 (共18层),91.35㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯五户,有,70年,2019-11-09,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片
18,亚东滨江和园,浦口,168,19091元/平米,3室1厅1厨1卫,高楼层 (共28层),88㎡,暂无数据,85㎡,板塔结合,南,钢混结构,简装,两梯六户,有,70年,2020-01-05,商品房,2016-01-05,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
